Sample,Yield,R_260_280,R_260_230
VR-8,17.4,1.671,-2.306
VR-11,16.4,1.518,-1.903
VR-2,15.8,1.61,-1.419
VR-15,16.6,1.753,3.314
VR-4,13.7,1.574,-1.27
VR-25,9.5,1.668,3.403
VR-27,18.7,1.458,0.661
VR-14,17.7,1.541,-1.819
VR-26,14.6,1.607,-1.394
VR-11,21.6,1.585,-4.075
VR-12,11.9,1.723,-0.877
VR-19,3.4,1.269,-0.12
VR-17,17.1,1.779,6.518
VR-22,16.9,1.624,-1.524
VR-20,9.4,1.467,-1.524
VR-23,5.5,1.577,-0.72
VR-16,11.3,1.583,-0.362
VR-5,17.3,1.522,-1.75
